"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 02 12:05:35 ART 2024","Fri Aug 02 12:05:52 ART 2024","16467","","","","","","Validacion de Iniciar sesion exitosamente",""
"passed","Fri Aug 02 12:41:08 ART 2024","Fri Aug 02 12:42:06 ART 2024","57962","","","","","","Valido la seccion de metodo de pago desde la factura -- @1.2 ",""
"passed","Fri Aug 02 11:49:24 ART 2024","Fri Aug 02 11:50:36 ART 2024","71489","","","","","","Validación de motivo de anulación",""
"broken","Fri Aug 02 11:42:25 ART 2024","Fri Aug 02 11:43:12 ART 2024","46993","","","","","","Valido las zonas de accion del modal de Eliminar mi cuenta",""
"passed","Fri Aug 02 12:44:05 ART 2024","Fri Aug 02 12:45:06 ART 2024","60204","","","","","","Valido la seccion de metodo de pago ""Efectivo""",""
"failed","Fri Aug 02 12:06:38 ART 2024","Fri Aug 02 12:06:49 ART 2024","10389","","","","","","Validacion de boton ""Login"" deshabilitado",""
"passed","Fri Aug 02 12:39:08 ART 2024","Fri Aug 02 12:40:09 ART 2024","61488","","","","","","Entregar pedido de la factura",""
"broken","Fri Aug 02 11:40:43 ART 2024","Fri Aug 02 11:41:20 ART 2024","36751","","","","","","Valido las zonas de accion de la pantalla de la pantalla de vueltas disponibles",""
"passed","Fri Aug 02 11:48:27 ART 2024","Fri Aug 02 11:49:24 ART 2024","57110","","","","","","Validación de presionar el boton ""Anular pedido""",""
"passed","Fri Aug 02 12:38:10 ART 2024","Fri Aug 02 12:39:08 ART 2024","57662","","","","","","Validacion del precio total del pedido",""
"passed","Fri Aug 02 12:31:12 ART 2024","Fri Aug 02 12:31:14 ART 2024","1374","","","","","","Validacion de opciones en el modal al presionar ""Ver indicaciones en mapa""",""
"passed","Fri Aug 02 12:46:17 ART 2024","Fri Aug 02 12:47:17 ART 2024","59867","","","","","","Valido el texto que se muestra en el sector de pago con Cheque",""
"broken","Fri Aug 02 12:10:16 ART 2024","Fri Aug 02 12:11:03 ART 2024","47130","","","","","","Validacion de eliminar cuenta exitosamente",""
"broken","Fri Aug 02 12:09:27 ART 2024","Fri Aug 02 12:10:16 ART 2024","49020","","","","","","Acepto termino y condiciones",""
"passed","Fri Aug 02 12:11:49 ART 2024","Fri Aug 02 12:12:08 ART 2024","18721","","","","","","Validacion de la pantalla Comenzar ruta",""
"passed","Fri Aug 02 12:06:06 ART 2024","Fri Aug 02 12:06:25 ART 2024","18743","","","","","","Validacion de mensaje de error por falta de contraseña",""
"broken","Fri Aug 02 12:15:05 ART 2024","Fri Aug 02 12:16:23 ART 2024","78410","","","","","","Validacion de la ruta -- @1.2 ",""
"broken","Fri Aug 02 12:19:40 ART 2024","Fri Aug 02 12:21:06 ART 2024","85759","","","","","","Validacion del desplegable ""Ordenar por"" -- @1.1 ",""
"passed","Fri Aug 02 11:59:00 ART 2024","Fri Aug 02 11:59:02 ART 2024","1693","","","","","","Validación del texto ""25 clientes""",""
"passed","Fri Aug 02 11:47:29 ART 2024","Fri Aug 02 11:48:27 ART 2024","58143","","","","","","Valido las zonas de accion del modal de Metodo de Pago",""
"broken","Fri Aug 02 11:43:12 ART 2024","Fri Aug 02 11:44:02 ART 2024","49579","","","","","","Valido las zonas de accion de la pantalla de la seccion ""Pendientes""",""
"broken","Fri Aug 02 12:22:48 ART 2024","Fri Aug 02 12:24:14 ART 2024","85650","","","","","","Validacion del desplegable ""Ordenar por"" -- @1.4 ",""
"failed","Fri Aug 02 11:44:02 ART 2024","Fri Aug 02 11:44:43 ART 2024","41089","","","","","","Valido las zonas de accion de la pantalla del Pedido",""
